Rentrée universitaire;Niveau géographique;Unité géographique;Regroupements de formations ou d’établissements;Secteur de l’établissement d’inscription
2001-02;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2001-02;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Commune;Rennes;Universités;Établissements publics
2001-02;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2001-02;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2001-02;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2001-02;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2001-02;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Académie;Rennes;Universités;Établissements publics
2001-02;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2001-02;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2001-02;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2001-02;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2001-02;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2001-02;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2001-02;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Commune;Rennes;Universités;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2001-02;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2001-02;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2001-02;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2001-02;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2001-02;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2001-02;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2001-02;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2001-02;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2001-02;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2001-02;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2001-02;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2001-02;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2001-02;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2001-02;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2001-02;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Unité urbaine;Rennes;Universités;Établissements publics
2001-02;Unité urbaine;Rennes;Universités;Établissements publics
2001-02;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2001-02;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2001-02;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2001-02;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2001-02;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2001-02;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2001-02;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2001-02;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2001-02;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements publics
2001-02;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2001-02;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2001-02;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2001-02;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2001-02;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2001-02;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2001-02;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2001-02;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2001-02;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2001-02;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2001-02;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2001-02;Académie;Rennes;Universités;Établissements publics
2001-02;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2001-02;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2001-02;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2001-02;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2001-02;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2001-02;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2001-02;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
