Geo Point;Geo Shape;objectid;id_lot;codcom;surfha;numads;numparc;typelot;nblot;datedecist;daact1;vocation;maouvr;etape;contrplh;datesig;date_modif;nomlot;decis;datedecis;datedecism;datetrans;modame;nature;nblog;prlog;amecrea;nblogplh;plh;obs;urbcrea
47.9915664577, -1.61094049522;"{""type"": ""Polygon"", ""coordinates"": [[[-1.611189486221432, 47.991559435008675], [-1.610776942825604, 47.99168731078627], [-1.610714414953728, 47.99159690246706], [-1.610659227409465, 47.991583938801256], [-1.611109166194334, 47.99144568317169], [-1.611189486221432, 47.991559435008675]]]}";13;33;35032;0.04804507;DP 35032 13 M0006;ZI745;Déclaration préalable;1;20130326;20130525;Habitat;Communale;En cours d'aménagement;Non;20131120JC;2017-09-05T10:09:21Z;;;;;;;;;;;;;;
48.0080045166, -1.70175912004;"{""type"": ""Polygon"", ""coordinates"": [[[-1.701586376363573, 48.00844132885367], [-1.701452566844644, 48.008340300192486], [-1.701224153130023, 48.00839939966554], [-1.701135153338178, 48.008227059308794], [-1.701122742473599, 48.00820134549323], [-1.701111630614379, 48.008178101563566], [-1.701089938971065, 48.00813303367808], [-1.701086001159285, 48.00812517513385], [-1.701247997604763, 48.008029778998], [-1.701439678825034, 48.007916766181744], [-1.701316230465478, 48.0078233327755], [-1.701374194835755, 48.007788878419916], [-1.701499041340211, 48.00788144348159], [-1.701530173785012, 48.0078634973823], [-1.701708538462573, 48.00776058144007], [-1.701730823535391, 48.00774723300995], [-1.7018128475355, 48.00769827593789], [-1.701906198208844, 48.007642456798706], [-1.701913841339092, 48.00763790839672], [-1.702144333581259, 48.00749987508107], [-1.702224055505104, 48.00760122705192], [-1.702275689108103, 48.007665432846736], [-1.702375337350736, 48.00778948713562], [-1.702266137942456, 48.00785559800924], [-1.702383170472766, 48.007943436173676], [-1.70225225045953, 48.00802467466464], [-1.70218132345105, 48.008068671759965], [-1.702058799695165, 48.00814479005773], [-1.701982907950586, 48.00819178389626], [-1.701786400273711, 48.008313736144856], [-1.701586376363573, 48.00844132885367]]]}";76;172;35363;0.50335112;PA 35363 09 M0001;;Permis d'aménager;9;;;Habitat;Communale;En cours d'aménagement;Non;20140806JC;2017-09-05T10:09:21Z;Résidence des Oiseaux II;AM;20100217;20111114;;;;;;;;;;
48.1820809801, -1.65971248391;"{""type"": ""Polygon"", ""coordinates"": [[[-1.659722251194117, 48.18234140927788], [-1.659682577337143, 48.182337001241294], [-1.659670532293353, 48.18233566316519], [-1.659712482315451, 48.182159996596276], [-1.659564339180474, 48.18216170002977], [-1.659586352885837, 48.18205829607899], [-1.659580941121823, 48.18203267483529], [-1.659608958626293, 48.18203392248713], [-1.659624249049757, 48.18192554560115], [-1.65985053720966, 48.18194003313112], [-1.659797914185307, 48.1821963421021], [-1.659759049764945, 48.182192688853995], [-1.659722251194117, 48.18234140927788]]]}";3609;560;35024;0.05318063;DP 35024 17 M0072;AE0020p, 021p;Déclaration préalable;1;;;;Communale;En cours d'aménagement;;20170831CB;2017-09-05T10:09:21Z;;AM;20170803;;;;;;;;;;;
48.1217778972, -1.81627526973;"{""type"": ""Polygon"", ""coordinates"": [[[-1.816570466960356, 48.122080317149845], [-1.816473248709746, 48.12196318131357], [-1.816129630862255, 48.1219833401973], [-1.8161291859758, 48.1219728151138], [-1.816058773297738, 48.12184148934318], [-1.816039840300125, 48.121784336879465], [-1.816037979696853, 48.12177882753328], [-1.816054070397188, 48.12169749873961], [-1.816122291545621, 48.121544596423895], [-1.816254692702794, 48.12155139735322], [-1.816403634654658, 48.12155948793169], [-1.816501336798237, 48.121867652117984], [-1.816529976320818, 48.12195810183422], [-1.816570466960356, 48.122080317149845]]]}";69;149;35131;0.13926435;PA 35131 12 M0001;AH43;Permis d'aménager;2;;;Habitat;Communale;En cours d'aménagement;Non;20140904JC;2017-09-05T10:09:21Z;Les Cèdres;AM;20130207;;;;;;;;;;;
48.1801622282, -1.66235362054;"{""type"": ""Polygon"", ""coordinates"": [[[-1.662186513473739, 48.18028439613791], [-1.662278223516548, 48.180029469813164], [-1.662548499882274, 48.18004447540485], [-1.66250885875292, 48.18010365779374], [-1.662492811906841, 48.18014665697055], [-1.662470175623619, 48.180185327625054], [-1.662412362289108, 48.18025957254305], [-1.662363828943211, 48.18031578106254], [-1.662186513473739, 48.18028439613791]]]}";65;145;35024;0.05320175;DP 35024 14 M0009;;Déclaration préalable;1;;;Habitat;Communale;En cours d'aménagement;Non;20140522_JC;2017-09-05T10:09:21Z;;AM;20140227;;;Régie directe;;;;;;;;
48.1473686482, -1.75822383332;"{""type"": ""Polygon"", ""coordinates"": [[[-1.75838947210877, 48.14692981337216], [-1.758708217540673, 48.14721147894924], [-1.758657280615009, 48.147533305011486], [-1.758638071916045, 48.14765629207633], [-1.758596336460116, 48.14765053883902], [-1.758358020033377, 48.14761723098944], [-1.758345949531185, 48.14765566755149], [-1.758280333109957, 48.14764648630271], [-1.75825664563115, 48.14772243952158], [-1.75818789413967, 48.147712847193226], [-1.758161699549452, 48.14770915448936], [-1.758113132668353, 48.14770233189782], [-1.758086946378016, 48.14769872894668], [-1.757965421491887, 48.14768050534406], [-1.757889108432156, 48.14767068485659], [-1.757839074351545, 48.14766401293638], [-1.757855282643584, 48.14761351048971], [-1.757840421662524, 48.14760277084008], [-1.757576576969442, 48.14741254986007], [-1.757982836612859, 48.147160376687886], [-1.75838947210877, 48.14692981337216]]]}";334;471;35210;0.44679476;PA 35210 16 M0001;AV27, 127, 166;Permis d'aménager;4;;;Habitat;Communale;En cours d'aménagement;;20160811MT;2017-09-05T10:09:21Z;Consorts Bouvier;AM;20160726;;;;;;;;;;;
48.2134846175, -1.58998390773;"{""type"": ""Polygon"", ""coordinates"": [[[-1.58984599798573, 48.21421508649317], [-1.589682905401383, 48.2142108614956], [-1.589604898018834, 48.21421441934029], [-1.589515082651238, 48.214223132635986], [-1.589257811042035, 48.213759909115744], [-1.589201038844471, 48.21364783455465], [-1.588596854821932, 48.2137479416482], [-1.588394745079959, 48.213551015070486], [-1.588595994664289, 48.21346461415183], [-1.588776674202422, 48.21337128357504], [-1.588893067084513, 48.2133038488098], [-1.58894741360966, 48.21327231194649], [-1.589071189904303, 48.21319395120782], [-1.589122359045143, 48.2131207347908], [-1.589165349619873, 48.21307523425304], [-1.589391354435449, 48.21287341980795], [-1.589611409624069, 48.21268049136795], [-1.58968326756327, 48.212691143771245], [-1.589703358185754, 48.21269421771475], [-1.589724800106365, 48.21269732792384], [-1.590391128893602, 48.2127938577658], [-1.590856606733764, 48.21285874336943], [-1.590927580933216, 48.21287006092559], [-1.591009493712971, 48.21288310495412], [-1.591015106523329, 48.213004965864464], [-1.591004257625078, 48.21310549848793], [-1.590986877268713, 48.213282425271345], [-1.590979234777939, 48.213361476584055], [-1.590973369724121, 48.21336675584535], [-1.590945416664864, 48.21345085111687], [-1.590928199108251, 48.21352532848514], [-1.590950061842913, 48.21354977524709], [-1.590923498347185, 48.21387311883757], [-1.590913404017092, 48.213997227362455], [-1.590894925567785, 48.21414824923241], [-1.590887780550401, 48.21420718855233], [-1.590829304516795, 48.214234746301976], [-1.590757476488387, 48.2142380587154], [-1.59050439515094, 48.21424967382038], [-1.590442891100294, 48.21424933114049], [-1.590293734330714, 48.21424869634789], [-1.590038786246678, 48.21423182334504], [-1.58984599798573, 48.21421508649317]]]}";157;299;35315;2.23091252;PA 35315 13 M0001;;Permis d'aménager;3;;;Activités;Communale;En cours d'aménagement;Non;20161219MT;2017-09-05T10:09:21Z;ZA du Tronchay;AM;20130812;20160919;;;Extension urbaine;;;;;;;
48.0028846207, -1.60561176918;"{""type"": ""Polygon"", ""coordinates"": [[[-1.606546078276898, 48.003014753357796], [-1.606300491412703, 48.003028991666], [-1.60620492884495, 48.00310520601271], [-1.606204484269753, 48.00334067446382], [-1.605849733319633, 48.003333500667615], [-1.605647308603603, 48.003329461819], [-1.604983905026353, 48.00331725307766], [-1.604991843101851, 48.00322854228104], [-1.60503412840399, 48.00287588935957], [-1.604609733633316, 48.002791553862004], [-1.604691887014833, 48.00255632884202], [-1.604658281184399, 48.002468474322654], [-1.604565482633895, 48.002400385317245], [-1.604562642581309, 48.00228111124511], [-1.604720736888737, 48.00223242325243], [-1.604850700114069, 48.002561701407494], [-1.605167819992352, 48.002678151248126], [-1.605308920288027, 48.00269940044179], [-1.605410237342352, 48.002387248603846], [-1.60541331026721, 48.00238807406263], [-1.605509605560733, 48.00241403349504], [-1.605533491557595, 48.002495249829046], [-1.605815863031118, 48.00253617605331], [-1.606168251634457, 48.00259141068787], [-1.60663920124232, 48.002661797423315], [-1.606570547767902, 48.00281340602095], [-1.606554002721694, 48.00287029534741], [-1.60654851059276, 48.002887004928596], [-1.606540400611544, 48.00294815092933], [-1.606543457533679, 48.00300353246004], [-1.606546078276898, 48.003014753357796]]]}";160;144;35032;1.01020363;DP 35032 14 M0043;;Déclaration préalable;1;20141102;;Habitat;Communale;En cours d'aménagement;Non;20141121JC;2017-09-05T10:09:21Z;;;;;;;;;;;;;;
48.1225401386, -1.81656863652;"{""type"": ""Polygon"", ""coordinates"": [[[-1.816973223560797, 48.122672910477505], [-1.816635771603976, 48.12263090185552], [-1.816368901058323, 48.12260098577478], [-1.816016987862954, 48.122568412530526], [-1.81621312532551, 48.12246215078934], [-1.816240224029919, 48.122458312354915], [-1.816409854787827, 48.12243426588176], [-1.816935245895113, 48.12246380706198], [-1.816973223560797, 48.122672910477505]]]}";352;489;35131;0.11867266;DP 35131 16 M0041;AH286;Déclaration préalable;1;20160911;;Habitat;Communale;En cours d'aménagement;;20160914MT;2017-09-05T10:09:21Z;;;;;;;;;;;;;;
48.0425711127, -1.71824680931;"{""type"": ""Polygon"", ""coordinates"": [[[-1.717713442780557, 48.043058014759715], [-1.717688863858458, 48.04275516854224], [-1.717681524315676, 48.042696897600905], [-1.717735027570537, 48.0426559514041], [-1.717703320594359, 48.042394218561725], [-1.717242603799592, 48.04242278869418], [-1.717231102405293, 48.04233954761252], [-1.717409374557688, 48.042330241210344], [-1.717398601577067, 48.042187316384755], [-1.717396058813222, 48.04215507081689], [-1.717201529076886, 48.04212467516672], [-1.717188961898377, 48.04203417883461], [-1.71742438501708, 48.041969448785316], [-1.717481944933735, 48.04197438300295], [-1.717588163634547, 48.04198389616948], [-1.717756567811128, 48.041998964277475], [-1.71776022336599, 48.04199926463919], [-1.717762536100626, 48.042020165605585], [-1.717796820130235, 48.04229098394638], [-1.718303923955301, 48.04226419999761], [-1.718302898154078, 48.04235444383939], [-1.719437891683089, 48.04251532672116], [-1.719287798738255, 48.042728572196275], [-1.719212540078041, 48.042835083710315], [-1.719162805994805, 48.04283859924783], [-1.718874526058322, 48.04288225619819], [-1.718611695181395, 48.04292207315109], [-1.718415262293299, 48.04295177192841], [-1.718087346349712, 48.04300138092206], [-1.717901650071394, 48.043029466188514], [-1.717713442780557, 48.043058014759715]]]}";96;224;35066;0.91688278;PA 35066 10 M0003;;Permis d'aménager;11;;;Habitat;Communale;En cours d'aménagement;Non;20161010MT;2017-09-05T10:09:21Z;Le Callouet;AM;20110609;20160920;;;;;;;;;;
